date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
11/10/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,Wells Fargo & Company,,,,,Referral,11/27/2015,Closed with explanation,Yes,Yes,1647855
03/22/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,,,,,Phone,03/25/2013,Closed with explanation,Yes,Yes,363225
05/07/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,,,,,Phone,05/13/2013,Closed with monetary relief,Yes,No,401176
02/24/2012,Credit card,,Closing/Cancelling account,,,,Synchrony Financial,,,,,Referral,02/24/2012,Closed without relief,Yes,No,59960
01/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,,,,,Referral,01/31/2013,Closed with explanation,Yes,No,270413
06/13/2013,Mortgage,Other mortgage,Other,,,,Bank of America,,,,,Referral,06/14/2013,Closed with explanation,Yes,No,431388
08/20/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,M&T Bank Corporation,,,,,Postal mail,09/01/2015,Closed with explanation,Yes,No,1528157
01/05/2016,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,,,,,Postal mail,01/05/2016,Closed with explanation,Yes,No,1727488
07/17/2012,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,Bank of America,,,,,Referral,07/27/2012,Closed with explanation,Yes,No,119587
09/17/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,Company believes it acted appropriately as authorized by contract or law,USAA Savings,,,,,Referral,09/22/2015,Closed with explanation,Yes,No,1569483
04/15/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",,,Servicemember,,Phone,04/17/2013,Closed with explanation,Yes,No,382642
01/15/2013,Credit card,,Billing statement,,,,Navy FCU,,,,,Email,01/16/2013,Closed with explanation,Yes,Yes,232232
10/26/2012,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,,,,,Referral,10/31/2012,Closed with explanation,Yes,No,179162
03/16/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,Company believes it acted appropriately as authorized by contract or law,"CL Holdings, LLC",,,,,Referral,03/17/2016,Closed with explanation,Yes,No,1835957
07/17/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,,,,,Referral,07/23/2012,Closed with explanation,Yes,No,118819
03/13/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Morgan Stanley,,,Older American,,Phone,03/14/2013,Closed with explanation,Yes,No,353638
01/10/2013,Mortgage,Other mortgage,Credit decision / Underwriting,,,,Wells Fargo & Company,,,,,Referral,01/11/2013,Closed with explanation,Yes,No,226597
06/03/2013,Mortgage,FHA mortgage,Settlement process and costs,,,,Bank of America,,,,,Phone,06/03/2013,Closed with explanation,Yes,No,422481
07/15/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,,,,,Referral,07/23/2013,Closed,Yes,No,457565
07/06/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,Encore Capital Group,,,,,Phone,07/08/2015,Closed with explanation,Yes,No,1453117
05/24/2012,Bank account or service,Checking account,Using a debit or ATM card,,,,Bank of America,,,,,Referral,06/05/2012,Closed with monetary relief,Yes,No,87239
05/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,,,,,Referral,05/08/2013,Closed with explanation,Yes,No,402634
07/10/2012,Mortgage,Second mortgage,"Loan servicing, payments, escrow account",,,,JPMorgan Chase & Co.,,,,,Referral,07/13/2012,Closed,Yes,No,115461
07/16/2012,Credit card,,Other fee,,,,Citibank,,,,,Phone,07/17/2012,Closed with explanation,Yes,Yes,118225
08/19/2014,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Selene Finance,,,,,Phone,08/21/2014,Closed with explanation,Yes,No,990718
03/24/2014,Money transfers,International money transfer,Money was not available when promised,,,,Wells Fargo & Company,,,Older American,,Phone,03/31/2014,Closed with explanation,Yes,No,774216
03/20/2015,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Wells Fargo & Company,,,,,Phone,03/23/2015,Closed with explanation,Yes,No,1293092
05/04/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,U.S. Bancorp,,,,,Referral,05/04/2012,Closed without relief,Yes,No,71116
07/02/2014,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo & Company,,,,,Phone,07/08/2014,Closed with monetary relief,Yes,No,921793
06/27/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,,,,,Postal mail,07/01/2013,Closed with explanation,Yes,No,444182
04/17/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Select Portfolio Servicing, Inc",,,,,Fax,04/18/2013,Closed with explanation,Yes,No,384676
08/05/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,Bank of America,,,,,Fax,08/12/2015,Closed with non-monetary relief,Yes,No,1504657
08/02/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,,,,,Referral,08/10/2012,Closed with explanation,Yes,No,129320
07/23/2012,Bank account or service,Savings account,"Account opening, closing, or management",,,,Barclays PLC,,,,,Referral,07/31/2012,Closed with explanation,Yes,No,122318
05/12/2014,Credit card,,Bankruptcy,,,,Citibank,,,,,Referral,05/15/2014,Closed with non-monetary relief,Yes,No,847704
11/04/2013,Credit card,,Unsolicited issuance of credit card,,,,Wells Fargo & Company,,,,,Referral,11/12/2013,Closed with explanation,Yes,Yes,585086
03/24/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Portfolio Recovery Associates, Inc.",,,,,Phone,03/24/2015,Closed with explanation,Yes,No,1297837
