date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
08/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,U.S. Bancorp,CA,95993,,,Referral,09/03/2013,Closed with explanation,Yes,Yes,511074
08/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,CA,91104,,,Referral,09/03/2013,Closed with explanation,Yes,Yes,511080
08/30/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Wells Fargo & Company,NY,11764,,,Postal mail,09/18/2013,Closed with explanation,Yes,No,510473
08/30/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",MD,21402,,,Email,08/30/2013,Closed with explanation,Yes,Yes,510326
08/30/2013,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,,Resurgent Capital Services L.P.,GA,30106,,,Web,08/30/2013,Closed with explanation,Yes,Yes,511067
08/30/2013,Credit card,,Application processing delay,,,,Capital One,NY,12206,,,Phone,09/03/2013,Closed with explanation,Yes,Yes,510098
08/30/2013,Credit card,,Credit line increase/decrease,,,,Wells Fargo & Company,AZ,85730,,,Postal mail,09/05/2013,Closed with explanation,Yes,No,511062
08/30/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,IL,60660,,,Referral,09/04/2013,Closed with explanation,Yes,No,511116
08/30/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,GA,30016,,,Referral,09/04/2013,Closed with explanation,Yes,No,511091
09/17/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"SunTrust Banks, Inc.",CA,94551,,,Web,09/18/2013,Closed with explanation,Yes,Yes,530602
08/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Convergent Resources, Inc.",NC,27545,,,Web,08/30/2013,Closed with explanation,Yes,No,509988
08/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Capital One,NC,27614,,,Fax,09/03/2013,Closed with explanation,Yes,Yes,511084
08/30/2013,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,,,Bank of America,TX,75023,,,Web,09/03/2013,Closed with explanation,Yes,No,511090
08/30/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,Wells Fargo & Company,TX,78244,,,Fax,09/03/2013,Closed with explanation,Yes,Yes,510129
09/10/2013,Debt collection,Credit card,Communication tactics,Called outside of 8am-9pm,,,Bank of America,GA,30132,,,Web,09/14/2013,Closed with explanation,Yes,No,521353
09/17/2013,Credit card,,Late fee,,,,"PayPal Holdings, Inc.",DC,20003,,,Web,09/17/2013,Closed with monetary relief,Yes,No,531853
09/17/2013,Debt collection,Credit card,Communication tactics,Used obscene/profane/abusive language,,,Van Ru Credit Corporation,KY,40508,,,Phone,09/18/2013,Closed with non-monetary relief,Yes,No,530622
09/24/2013,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,"TransUnion Intermediate Holdings, Inc.",IL,62060,,,Web,09/24/2013,Closed with non-monetary relief,Yes,No,540835
09/24/2013,Debt collection,Non-federal student loan,Improper contact or sharing of info,Talked to a third party about my debt,,,Allied Interstate LLC,GA,30039,,,Phone,09/25/2013,Closed with non-monetary relief,Yes,No,540355
09/17/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,RI,02921,,,Postal mail,10/10/2013,Closed with explanation,Yes,No,531346
09/17/2013,Credit card,,Billing disputes,,,,Bank of America,TN,37874,Older American,,Phone,11/04/2013,Closed with explanation,Yes,Yes,530624
09/24/2013,Debt collection,Non-federal student loan,Improper contact or sharing of info,Talked to a third party about my debt,,,"Navient Solutions, Inc.",GA,30039,,,Phone,09/25/2013,Closed with monetary relief,Yes,No,540356
09/24/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"Carrington Mortgage Holdings, LLC.",AR,72113,,,Web,09/25/2013,Closed with explanation,Yes,No,540357
09/10/2013,Debt collection,Credit card,Communication tactics,Called outside of 8am-9pm,,,Wells Fargo & Company,GA,30132,,,Web,09/14/2013,Closed with explanation,Yes,No,521354
09/10/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,IL,62034,,,Web,09/11/2013,Closed with explanation,Yes,No,521356
09/24/2013,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,"Enova International, Inc.",AL,35473,,,Web,09/26/2013,Closed with explanation,Yes,No,540359
09/24/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,NC,28753,,,Web,09/25/2013,Closed with monetary relief,Yes,No,540360
09/10/2013,Credit card,,Rewards,,,,Bank of America,NJ,08512,,,Web,09/19/2013,Closed with explanation,Yes,No,521360
09/17/2013,Debt collection,Mortgage,Communication tactics,Frequent or repeated calls,,,"SunTrust Banks, Inc.",VA,22151,,,Web,09/17/2013,Closed with explanation,Yes,No,531855
08/30/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,FL,34684,Older American,,Phone,09/04/2013,Closed with explanation,Yes,Yes,510410
09/24/2013,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,IL,62060,,,Web,09/24/2013,Closed with explanation,Yes,Yes,540836
09/10/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,TX,78704,,,Web,09/11/2013,Closed with explanation,Yes,No,521364
09/10/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,MN,55122,,,Web,09/11/2013,Closed with explanation,Yes,Yes,521365
09/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"Hunter Warfield, Inc.",AZ,86004,Servicemember,,Web,09/11/2013,Closed with explanation,Yes,Yes,520858
09/10/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,"Citizens Financial Group, Inc.",NJ,08865,,,Web,09/10/2013,Closed with explanation,Yes,No,521368
09/24/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,AK,99623,,,Web,09/25/2013,Closed with explanation,Yes,No,540368
09/17/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,FirstMerit Bank,OH,43016,,,Web,09/18/2013,Closed with explanation,Yes,No,530634
09/10/2013,Mortgage,Other mortgage,Settlement process and costs,,,,American Pacific Mortgage Corporation,OR,97479,,,Web,09/10/2013,Closed with explanation,Yes,No,521371
09/10/2013,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,,,"Expert Global Solutions, Inc.",AZ,85297,,,Web,09/14/2013,Closed with explanation,Yes,No,521372
09/10/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,U.S. Bancorp,MO,63138,,,Web,09/10/2013,Closed with explanation,Yes,No,521374
08/30/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CA,90305,Older American,,Phone,09/03/2013,Closed with explanation,Yes,No,511066
08/30/2013,Debt collection,I do not know,Taking/threatening an illegal action,Threatened to sue on too old debt,,,Wells Fargo & Company,CA,94530,,,Web,08/30/2013,Closed with explanation,Yes,No,511115
09/24/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Afni, Inc.",FL,33334,,,Web,09/24/2013,Closed with explanation,Yes,No,540371
09/24/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,Capital One,CA,91605,,,Web,09/24/2013,Closed with non-monetary relief,Yes,No,540372
09/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"OneMain Financial Holdings, LLC",AL,36874,,,Referral,10/08/2013,Closed with explanation,Yes,No,530639
09/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SunTrust Banks, Inc.",CA,94509,,,Postal mail,09/18/2013,Closed with explanation,Yes,No,530642
09/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,AZ,85733,,,Web,09/17/2013,Closed with explanation,Yes,No,531850
08/30/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Security Finance,LA,70503,,,Web,08/30/2013,Closed with explanation,Yes,No,511120
09/24/2013,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Experian,NC,27597,,,Web,09/24/2013,Closed with explanation,Yes,Yes,540383
09/17/2013,Credit card,,Customer service / Customer relations,,,,U.S. Bancorp,OH,45387,,,Web,09/17/2013,Closed with explanation,Yes,No,531857
09/10/2013,Credit card,,Forbearance / Workout plans,,,,Capital One,OH,43065,,,Web,09/14/2013,Closed with monetary relief,Yes,No,521375
09/10/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,"Asset Recovery Group, Inc.",OR,97222,Older American,,Web,09/10/2013,Closed with explanation,Yes,No,521376
09/10/2013,Credit card,,Closing/Cancelling account,,,,Wells Fargo & Company,MN,55949,,,Web,09/10/2013,Closed with explanation,Yes,No,521378
09/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Convergent Resources, Inc.",CA,94102,,,Web,09/14/2013,Closed with explanation,Yes,No,521379
09/24/2013,Debt collection,Non-federal student loan,Communication tactics,Frequent or repeated calls,,,Allied Interstate LLC,SC,29928,Older American,,Postal mail,09/25/2013,Closed with non-monetary relief,Yes,No,541189
09/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,IL,60628,,,Web,09/24/2013,Closed with non-monetary relief,Yes,No,540390
09/24/2013,Debt collection,Non-federal student loan,Communication tactics,Frequent or repeated calls,,,"Navient Solutions, Inc.",SC,29928,Older American,,Postal mail,09/25/2013,Closed with explanation,Yes,No,541190
09/10/2013,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,VA,22195,,,Web,09/14/2013,Closed with explanation,Yes,No,521381
09/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,CA,94102,,,Web,09/14/2013,Closed with non-monetary relief,Yes,No,521380
09/10/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,MN,55024,,,Web,09/10/2013,Closed with explanation,Yes,No,521383
09/10/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,NC,28205,Servicemember,,Web,09/10/2013,Closed with explanation,Yes,No,521318
08/30/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,OK,74063,,,Phone,09/03/2013,Closed with explanation,Yes,No,511133
08/30/2013,Mortgage,Other mortgage,Credit decision / Underwriting,,,,New York Community Bank,MD,20912,,,Postal mail,09/05/2013,Closed with explanation,Yes,No,511136
09/10/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,Commercial Recovery Systems,AZ,85037,,,Web,09/14/2013,Closed,Yes,No,521384
09/10/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,WA,98512,,,Web,09/11/2013,Closed with non-monetary relief,Yes,No,520885
09/10/2013,Credit card,,Billing disputes,,,,Citibank,FL,32259,,,Web,09/14/2013,Closed with explanation,Yes,No,520825
09/10/2013,Credit card,,Rewards,,,,JPMorgan Chase & Co.,PA,19406,,,Web,09/14/2013,Closed with explanation,Yes,No,521385
09/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,GA,30701,,,Web,09/18/2013,Closed with explanation,Yes,No,530654
08/30/2013,Mortgage,FHA mortgage,Settlement process and costs,,,,Prospect Mortgage,CA,92656,Older American,,Web,09/04/2013,Closed with explanation,Yes,Yes,511140
09/24/2013,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,Capital One,CA,91773,,,Web,09/26/2013,Closed with explanation,Yes,No,540399
09/10/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,NJ,08742,,,Web,09/14/2013,Closed with non-monetary relief,Yes,No,521386
09/10/2013,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,,Ditech Financial LLC,MN,55101,Older American,,Web,09/10/2013,Closed with explanation,Yes,Yes,520945
09/10/2013,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,"Trident Asset Management, L.L.C.",MO,63701,,,Web,09/24/2013,Closed with non-monetary relief,Yes,No,521390
09/10/2013,Credit card,,APR or interest rate,,,,Amex,MI,48178,Servicemember,,Web,09/10/2013,Closed with monetary relief,Yes,Yes,521391
09/10/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,CA,92078,,,Web,09/10/2013,Closed with explanation,Yes,Yes,520944
09/10/2013,Credit reporting,,Incorrect information on credit report,Personal information,,,Experian,NJ,08742,,,Web,09/11/2013,Closed with non-monetary relief,Yes,No,521387
09/24/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,CA,92223,Older American,,Web,09/26/2013,Closed with non-monetary relief,Yes,Yes,540374
09/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,VA,22485,,,Web,09/18/2013,Closed with explanation,Yes,No,531705
09/17/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,IL,60561,Older American,,Web,09/18/2013,Closed with explanation,Yes,No,530663
09/17/2013,Student loan,Non-federal student loan,Problems when you are unable to pay,Problems when you are unable to pay,,,"Schachter Portnoy, L.L.C.",NJ,07086,,,Web,09/18/2013,Closed with explanation,Yes,No,530664
09/10/2013,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,,Equifax,MD,21061,,,Web,09/14/2013,Closed with non-monetary relief,Yes,No,521392
09/10/2013,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,,Tormey Bewley Corporation,CO,80126,,,Web,10/10/2013,Closed with non-monetary relief,Yes,No,521394
09/10/2013,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,,Bank of America,CA,90605,,,Web,09/10/2013,Closed with explanation,Yes,No,521395
08/30/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase & Co.,DC,20012,,,Web,09/04/2013,Closed with explanation,Yes,No,511146
08/30/2013,Student loan,Non-federal student loan,Problems when you are unable to pay,Problems when you are unable to pay,,,"Navient Solutions, Inc.",KY,40207,,,Web,09/04/2013,Closed with explanation,Yes,Yes,511150
08/30/2013,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"North American Asset Services, LLC",CA,92002,,,Phone,09/03/2013,Closed with explanation,Yes,No,511071
09/24/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,KY,40059,,,Web,09/25/2013,Closed with explanation,Yes,Yes,540406
09/24/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,"Expert Global Solutions, Inc.",TX,78240,,,Web,09/24/2013,Closed with explanation,Yes,No,540407
09/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Flagstar Bank,KS,66846,,,Postal mail,09/18/2013,Closed with explanation,Yes,No,530667
09/17/2013,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,,,M&T Bank Corporation,VA,23453,,,Web,09/18/2013,Closed with explanation,Yes,No,530671
09/10/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Loan Care,NY,11235,,,Web,09/10/2013,Closed with explanation,Yes,No,521396
09/10/2013,Credit card,,Balance transfer,,,,JPMorgan Chase & Co.,NY,11967,,,Web,09/14/2013,Closed with explanation,Yes,No,521310
09/10/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Commercial Recovery Systems,TX,76155,,,Web,09/30/2013,Closed,No,No,521397
09/10/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",WA,99208,,,Web,09/10/2013,Closed with non-monetary relief,Yes,No,521400
09/10/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,CA,94108,,,Web,09/10/2013,Closed with non-monetary relief,Yes,No,521401
09/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,DC,20018,,,Web,09/18/2013,Closed with explanation,Yes,No,530677
09/10/2013,Bank account or service,Savings account,Deposits and withdrawals,,,,Citibank,CA,90651,,,Web,09/10/2013,Closed with monetary relief,Yes,No,521404
09/10/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,Experian,FL,32811,,,Web,09/14/2013,Closed with non-monetary relief,Yes,No,521231
09/10/2013,Debt collection,Federal student loan,Improper contact or sharing of info,Contacted employer after asked not to,,,ConServe,CA,91403,,,Web,09/14/2013,Closed with explanation,Yes,No,521406
09/10/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,CA,94605,,,Web,09/10/2013,Closed with explanation,Yes,No,521407
09/10/2013,Money transfers,International money transfer,Wrong amount charged or received,,,,Capital One,NY,11206,,,Web,09/10/2013,Closed with monetary relief,Yes,No,521409
09/10/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,91324,,,Web,09/10/2013,Closed with explanation,Yes,No,521410
09/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Astoria Bank,CA,92009,,,Postal mail,09/18/2013,Closed with explanation,Yes,No,530678
09/24/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NJ,07307,,,Fax,09/25/2013,Closed with explanation,Yes,No,540608
09/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,MA,02151,,,Postal mail,09/18/2013,Closed with explanation,Yes,No,531743
09/17/2013,Credit card,,Rewards,,,,Citibank,NJ,07078,,,Phone,09/18/2013,Closed with explanation,Yes,No,530684
09/24/2013,Debt collection,Non-federal student loan,False statements or representation,Attempted to collect wrong amount,,,Loan To Learn,OR,97136,,,Web,09/24/2013,Closed with explanation,Yes,No,540425
08/30/2013,Mortgage,Other mortgage,Credit decision / Underwriting,,,,U.S. Bancorp,MN,55431,,,Postal mail,09/03/2013,Closed with explanation,Yes,No,511154
08/30/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"Cavalry Investments, LLC",IL,60139,,,Web,08/30/2013,Closed with explanation,Yes,No,511155
09/10/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Toyota Motor Credit Corporation,NH,03079,,,Web,09/10/2013,Closed with non-monetary relief,Yes,No,521411
09/10/2013,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,,,HSBC North America Holdings Inc.,FL,75075,,,Web,09/10/2013,Closed with explanation,Yes,No,521412
09/10/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Bank of America,CA,93436,,,Web,09/10/2013,Closed with explanation,Yes,No,521415
09/10/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,Grant & Weber,NV,89014,,,Postal mail,09/10/2013,Closed with explanation,Yes,No,521416
09/17/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Stellar Recovery Inc.,TX,79772,,,Phone,10/16/2013,Closed with explanation,Yes,Yes,530686
09/17/2013,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,Citibank,NH,03062,Servicemember,,Web,09/18/2013,Closed with non-monetary relief,Yes,No,530688
09/10/2013,Bank account or service,Savings account,"Account opening, closing, or management",,,,"Fidelity National Information Services, Inc. (FNIS)",KY,40324,,,Web,09/10/2013,Closed with explanation,Yes,No,521417
09/10/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Loan Care,DC,20019,,,Web,09/10/2013,Closed with explanation,Yes,Yes,521418
08/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,CA,90036,,,Web,09/04/2013,Closed with explanation,Yes,Yes,510043
09/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",WV,24910,,,Postal mail,10/07/2013,Closed with explanation,Yes,No,541177
09/24/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,"Citizens Financial Group, Inc.",NJ,07009,,,Phone,09/25/2013,Closed with explanation,Yes,No,540434
09/10/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,TN,37040,,,Postal mail,09/10/2013,Closed with explanation,Yes,Yes,520930
09/10/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,OH,44147,,,Web,09/10/2013,Closed with non-monetary relief,Yes,No,521419
09/24/2013,Credit card,,Customer service / Customer relations,,,,Amex,MN,55342,,,Web,09/25/2013,Closed with explanation,Yes,No,540439
09/24/2013,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,Penn Credit Corporation,NY,11214,,,Phone,09/25/2013,Closed with explanation,Yes,Yes,541266
08/30/2013,Credit card,,Credit line increase/decrease,,,,Discover,MD,20853,Older American,,Web,08/30/2013,Closed with explanation,Yes,No,511168
08/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Fifth Third Financial Corporation,NC,28075,,,Postal mail,09/04/2013,Closed with monetary relief,Yes,No,511169
09/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Banco Popular de Puerto Rico,PR,00639,,,Postal mail,10/08/2013,Closed with explanation,Yes,No,530694
09/17/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Guaranteed Rate,CA,90066,,,Web,09/18/2013,Closed with explanation,Yes,No,530695
09/17/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,NC,28269,,,Web,09/18/2013,Closed with explanation,Yes,No,531326
09/10/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,WA,98110,,,Referral,09/10/2013,Closed with explanation,Yes,No,521455
09/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,CA,90605,,,Postal mail,10/04/2013,Closed with non-monetary relief,Yes,No,540901
09/17/2013,Credit card,,Credit line increase/decrease,,,,BBVA Compass,TX,79606,,,Postal mail,09/18/2013,Closed with explanation,Yes,No,530653
09/17/2013,Credit card,,Late fee,,,,Citibank,NY,10027,Older American,,Phone,09/18/2013,Closed with monetary relief,Yes,No,530699
09/10/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Loan Care,DE,19802,,,Web,09/10/2013,Closed with explanation,Yes,No,521426
09/24/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,TD Bank US Holding Company,MA,02119,,,Web,09/25/2013,Closed with non-monetary relief,Yes,No,540452
09/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,CA,90605,,,Postal mail,10/04/2013,Closed with non-monetary relief,Yes,No,540902
08/30/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,"TransUnion Intermediate Holdings, Inc.",NY,12701,Older American,,Web,09/04/2013,Closed with explanation,Yes,Yes,509989
08/30/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,Citibank,CA,92220,,,Postal mail,09/04/2013,Closed with explanation,Yes,No,511173
09/10/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Encore Capital Group,OH,45227,,,Postal mail,09/10/2013,Closed with explanation,Yes,No,521431
09/10/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,IN,46123,,,Web,09/10/2013,Closed with explanation,Yes,No,521432
09/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Wells Fargo & Company,CA,90265,,,Web,09/25/2013,Closed with explanation,Yes,No,540453
09/24/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Capital One,IL,60628,,,Web,09/25/2013,Closed with explanation,Yes,No,540391
09/24/2013,Credit card,,Closing/Cancelling account,,,,JPMorgan Chase & Co.,VA,22302,Servicemember,,Web,09/24/2013,Closed with monetary relief,Yes,Yes,540455
09/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33619,,,Web,09/18/2013,Closed with explanation,Yes,No,530701
09/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",CA,95377,,,Web,09/17/2013,Closed with non-monetary relief,Yes,No,530107
09/10/2013,Credit reporting,,Incorrect information on credit report,Personal information,,,Experian,FL,33408,Older American,,Web,09/14/2013,Closed with non-monetary relief,Yes,No,521434
09/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",AR,72824,Servicemember,,Web,09/24/2013,Closed with explanation,Yes,No,540833
09/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,WV,24910,,,Postal mail,10/07/2013,Closed with explanation,Yes,No,541178
09/24/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,CA,93022,,,Web,09/25/2013,Closed with explanation,Yes,No,540462
09/24/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,NC,28213,,,Referral,09/25/2013,Closed with explanation,Yes,No,540551
09/17/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,FL,34120,Older American,,Web,09/18/2013,Closed with explanation,Yes,No,530709
08/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ocwen,AZ,85249,,,Web,09/04/2013,Closed with explanation,Yes,Yes,511182
08/30/2013,Credit card,,Billing disputes,,,,KeyBank NA,NY,14618,,,Web,10/04/2013,Closed with monetary relief,Yes,No,511187
09/24/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Residential Credit Solutions,NV,89128,,,Referral,11/08/2013,Closed with explanation,Yes,No,540559
09/24/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,Wells Fargo & Company,UT,84041,,,Web,09/25/2013,Closed with explanation,Yes,No,540467
09/10/2013,Consumer Loan,Personal line of credit,Account terms and changes,,,,HSBC North America Holdings Inc.,GA,30106,,,Web,09/10/2013,Closed with explanation,Yes,Yes,521443
09/24/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,TCF National Bank,MN,55416,,,Referral,09/25/2013,Closed with explanation,Yes,No,540541
09/17/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Phillips & Cohen Associates, Ltd.",OH,43220,Older American,,Phone,09/18/2013,Closed with explanation,Yes,No,530710
09/17/2013,Credit card,,Billing statement,,,,Bank of America,LA,71467,Older American,,Web,09/17/2013,Closed with explanation,Yes,No,531858
09/24/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Fifth Third Financial Corporation,OH,43607,,,Referral,09/25/2013,Closed with explanation,Yes,No,540595
08/30/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,HSBC North America Holdings Inc.,CO,80207,Older American,,Web,09/04/2013,Closed with explanation,Yes,No,511192
08/30/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,Bank of America,KY,41006,,,Postal mail,09/04/2013,Closed with monetary relief,Yes,No,511193
